,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr
0,01/04/2018 00:00,0.0,0.0,0.0,1.792149,1.48,-0.01,0.09000002,0.0,3.893739,11.3,6.85021,20.31673,0.0,1.0
1,01/04/2018 00:20,439.6537,23107.79,3.180312,1.559468,0.3991992,2.509912,1.564347,2708.966,4.683036,11.39522,7.000925,19.58634,0.02495852,1.0
2,01/04/2018 00:40,135.3425,7374.785,3.949007,1.626709,0.7242274,3.583611,2.350536,2511.014,5.300359,11.5,6.984128,18.82328,0.003819264,1.0
3,01/04/2018 01:00,111.755,6183.07,3.193381,1.945239,1.505563,3.485233,2.368013,1899.704,5.703792,11.59514,6.997321,18.15468,0.006148356,1.0
4,01/04/2018 01:20,0.249975,11.3942,1.908549,2.192653,1.675189,3.5373,2.214131,1664.467,5.753571,11.64753,6.947765,18.1932,0.01922872,1.0
5,01/04/2018 01:40,0.8866619,43.72196,0.4926946,2.453171,2.485845,3.587111,2.298177,863.6318,5.746079,11.7,6.90975,19.86417,0.007043099,1.0
6,01/04/2018 02:00,0.250635,10.80408,0.0,2.59,2.667893,2.347775,0.1448135,0.0,5.739999,11.7,6.876823,20.25392,0.0,1.0
7,01/04/2018 02:20,0.3793207,17.23148,0.0,2.563481,2.26,-0.01,0.03,0.0,5.739999,11.65082,6.89,20.17524,0.0,1.0
8,01/04/2018 02:40,0.2496725,11.01663,0.0,2.464952,2.26,-0.01,0.03737784,0.0,5.739999,11.6,6.89,20.60218,0.0,1.0
9,01/04/2018 03:00,0.074361,3.817343,0.0205584,2.32611,2.26,-0.01,0.05824142,0.0,5.739999,11.6,6.89,20.85562,0.0,1.0
10,01/04/2018 03:20,0.4108335,19.98938,0.01264135,2.18703,2.26,-0.01,0.07000001,0.0,5.739999,11.6,6.89,20.79469,0.0,1.0
11,01/04/2018 03:40,0.5389275,24.20468,0.01963394,2.100683,2.26,-0.00767575,0.07958626,0.0,5.739999,11.6,6.89,20.78783,0.0,1.0
12,01/04/2018 04:00,0.2579325,11.13808,0.01185357,2.030962,1.753527,-0.01,0.08000001,0.0,5.739999,11.6,6.890839,20.67568,0.0,1.0
13,01/04/2018 04:20,0.1289873,5.799288,0.0,1.95997,1.69,-0.01,0.08000001,0.0,5.739999,11.6,6.909585,20.73824,0.0,1.0
14,01/04/2018 04:40,0.2576773,10.70016,0.0,1.885875,1.69,-0.01,0.09545435,0.0,5.559121,11.6,6.910001,20.80271,0.0,1.0
15,01/04/2018 05:00,0.0,0.0,0.0,1.802306,1.69,-0.006814585,0.1,0.0,4.014882,11.6,6.910655,20.54742,0.0,1.0
16,01/04/2018 05:20,0.2573945,8.433172,0.0,1.697388,1.45294,-0.01,0.1,0.0,3.766906,11.6,6.912302,20.7749,0.0,1.0
17,01/04/2018 05:40,262.9352,10272.32,0.4475533,1.608805,1.15,1.679733,0.1,0.0,3.9796,11.6,6.962374,20.2821,0.0,1.0
18,01/04/2018 06:00,124.0742,4695.585,1.750172,1.528267,0.7151061,3.8663,1.744281,1705.22,4.634284,11.6,7.018695,19.12471,0.0,1.0
19,01/04/2018 06:20,199.7839,7038.769,1.902189,1.833334,0.5299999,3.493527,2.752073,1168.129,5.091986,11.5239,7.018111,17.76655,0.0,1.0
20,01/04/2018 06:40,64.60119,2149.907,1.525936,2.134958,0.9761714,3.2353,2.79069,1006.041,5.510646,11.5,7.03048,17.23966,7.904959e-10,1.0
21,01/04/2018 07:00,0.0,0.0,0.0970775,2.337484,1.509351,3.580254,3.206355,1006.041,5.515658,11.5,6.953818,17.13359,3.662155e-05,1.0
22,01/04/2018 07:20,0.6373373,16.22243,0.0,2.566896,1.096754,3.650267,4.520551,676.1598,5.510001,11.5,6.929999,18.97411,0.000230677,1.0
23,01/04/2018 07:40,0.0,0.0,0.0,2.797303,0.8649842,2.80477,3.063553,29.39972,5.510001,11.5,6.934771,19.22353,9.281422e-07,1.0
24,01/04/2018 08:00,1.378237,34.87221,0.0,2.871596,0.013464,1.151053,2.139429,218.9598,5.507039,11.5,6.939751,18.6574,3.13585e-05,1.0
25,01/04/2018 08:20,0.0,0.0,0.0,3.007399,0.0,1.809216,0.9477192,0.0,5.5,11.5,6.928839,20.78121,0.0,1.0
26,01/04/2018 08:40,0.3792517,8.974942,0.0,2.968847,0.0,-0.01,0.7013413,0.0,5.5,11.5,6.940001,20.84134,0.0,1.0
27,01/04/2018 09:00,0.2301092,6.006124,0.00062,2.903124,0.0,-0.01,0.3695471,0.0,5.5,11.5,6.940001,20.52589,0.0,1.0
28,01/04/2018 09:20,0.4072583,11.08451,0.001041835,2.855914,0.0,-0.01,0.2467667,0.0,5.5,11.5,6.940001,20.79221,0.0,1.0
29,01/04/2018 09:40,0.1291715,3.993522,0.000620665,2.790653,0.0,0.08033865,0.1382635,0.0,5.5,11.5,6.940001,20.79707,0.0,1.0
30,01/04/2018 10:00,0.1288743,5.028035,0.0,2.720989,0.0,-0.002427499,0.1228055,0.0,5.5,11.5,6.924581,20.75256,0.0,1.0
31,01/04/2018 10:20,0.2511575,10.94915,0.0,2.65112,0.0,-0.01,0.1271222,0.0,5.494202,11.5,6.923827,20.77898,0.0,1.0
32,01/04/2018 10:40,0.0,0.0,0.0,2.539831,0.0,-0.01,0.1397426,0.0,4.655569,11.5,6.940001,20.73,0.0,1.0
33,01/04/2018 11:00,0.0,0.0,0.0,2.493079,0.0,0.02509565,0.1182904,0.0,3.875699,11.5,6.940001,20.40593,0.0,1.0
34,01/04/2018 11:20,224.627,18515.17,0.0,2.311198,0.0,0.09045499,0.1145086,0.0,3.840364,11.5,6.940001,20.44567,0.0,1.0
35,01/04/2018 11:40,221.1305,19296.09,4.468285,1.759363,0.0,1.933641,0.5986739,1540.398,4.751403,11.55052,7.066619,19.70527,0.0,1.0
36,01/04/2018 12:00,196.9145,17928.39,8.641755,1.515351,0.09808435,3.424619,2.668602,1598.652,5.326671,11.69501,7.122322,18.36611,0.0,1.0
37,01/04/2018 12:20,170.1361,15640.13,9.593899,1.821861,0.6371524,3.166528,2.691001,1762.617,5.883696,11.75926,7.105633,17.85843,0.001888403,1.0
38,01/04/2018 12:40,0.37925,27.55555,8.099871,2.068388,1.456488,3.369327,2.67977,1436.886,6.017984,11.8,7.054093,17.72019,0.01084849,1.0
39,01/04/2018 13:00,0.6284485,42.67691,6.186591,2.342965,2.268259,3.485625,2.77961,1229.553,6.000975,11.8,6.995227,17.15139,0.02143679,1.0
40,01/04/2018 13:20,3.51537,251.2876,4.766483,2.565408,3.004272,3.487277,2.811476,1225.281,5.987414,11.8,6.948409,17.35063,0.02956439,1.0
41,01/04/2018 13:40,2.146551,133.7259,3.440449,2.829151,3.640157,3.472214,2.743221,1218.781,5.984464,11.8,6.920931,16.64339,0.05891947,1.0
42,01/04/2018 14:00,1.392429,90.61596,2.171552,3.02666,4.431104,3.470001,2.90516,1006.041,5.985874,11.84092,6.873335,16.59065,0.06707179,1.0
43,01/04/2018 14:20,2.256597,141.3718,1.105814,3.214305,4.809999,3.436791,1.848052,473.2859,5.982642,11.9,6.84087,17.69796,0.03730943,1.0
44,01/04/2018 14:40,0.3867216,19.97947,0.7070811,3.255303,4.809999,1.583752,0.04519726,0.0,5.980001,11.93042,6.820599,19.37391,0.0,1.0
45,01/04/2018 15:00,0.2593066,10.41327,0.6967597,3.23,4.809999,-0.01,0.03,0.0,5.980001,12.05351,6.830001,20.19462,0.0,1.0
46,01/04/2018 15:20,0.0,0.0,0.6168324,3.218162,4.809999,-0.01,0.04881592,0.0,5.980001,12.1,6.818265,20.38753,0.0,1.0
47,01/04/2018 15:40,0.638765,22.87446,0.5223703,3.221566,4.809999,-0.01,0.07062751,0.0,5.980001,12.1,6.82643,20.44458,0.0,1.0
48,01/04/2018 16:00,0.5159358,19.01727,0.3979079,3.182809,4.809999,-0.01,0.09339284,0.0,5.980001,12.11269,6.814182,20.63264,0.0,1.0
49,01/04/2018 16:20,0.3868208,13.88225,0.3842269,3.113038,4.809999,-0.01,0.1075806,0.0,5.980001,12.2,6.812362,20.81205,0.0,1.0
50,01/04/2018 16:40,0.1286617,4.910609,0.3947994,3.156917,4.809999,-0.01,0.1041864,0.0,5.572644,12.18698,6.830001,20.82153,0.0,1.0
51,01/04/2018 17:00,0.0,0.0,0.4446334,3.084495,4.809999,-0.01,0.1062208,0.0,4.295601,12.02937,6.830001,20.86558,0.0,1.0
52,01/04/2018 17:20,425.0558,20228.52,2.296389,2.463901,3.79588,1.322004,1.601234,1514.852,4.615124,12.0,6.914349,19.8635,1.372323,1.0
53,01/04/2018 17:40,224.5437,11166.08,5.335608,1.748152,2.380001,3.147928,2.556378,1457.142,5.577966,12.0,7.013957,18.29316,2.580337,1.0
54,01/04/2018 18:00,107.6077,5517.192,5.180335,1.957086,2.76207,3.188712,2.217777,1664.467,6.042571,12.0,7.012289,18.46443,2.270718,1.0
55,01/04/2018 18:20,0.1286193,5.647738,3.889268,2.16177,3.422646,3.326934,2.167908,1664.467,6.128498,12.0,6.991347,18.27583,1.947598,1.0
56,01/04/2018 18:40,0.7575523,30.93127,2.534097,2.370868,4.148128,3.43017,2.603675,1593.572,6.112937,12.03981,6.947381,18.69816,1.455058,1.0
