,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr
0,01/04/2018 00:00,0.1288175,5.23668,0.0,1.540541,0.0,0.01019817,0.5758291,0.0,6.820001,10.0,6.769999,20.58665,0.0,2.0
1,01/04/2018 00:20,0.0,0.0,0.0,1.431319,0.0,0.01,0.5939546,0.0,5.705168,10.0,6.777322,20.71881,0.0,2.0
2,01/04/2018 00:40,0.0,0.0,0.0,1.284625,0.0,0.01,0.6038464,0.0,3.976212,10.0,6.79,20.63569,0.0,2.0
3,01/04/2018 01:00,239.9187,13275.2,0.0,1.214319,0.0,0.0140445,0.9803195,1627.917,4.068482,10.02302,6.79,19.41634,0.100475,2.0
4,01/04/2018 01:20,128.6138,7218.405,1.106097,1.007881,0.0,2.433243,2.216953,1821.135,4.726072,10.1,6.811015,18.69235,0.05386463,2.0
5,01/04/2018 01:40,180.2277,10185.36,2.072631,1.178046,0.0,3.190391,2.272465,2462.68,5.213387,10.15269,6.866542,18.92704,0.03950176,2.0
6,01/04/2018 02:00,9.340788,521.6098,0.8554729,1.411157,0.0,3.286023,2.427906,1676.736,5.427344,10.2,6.843976,18.59343,0.03724735,2.0
7,01/04/2018 02:20,0.5933707,31.14304,0.0,1.715125,0.0,3.320159,2.998203,1154.041,5.43,10.2,6.809999,18.27628,0.03172954,2.0
8,01/04/2018 02:40,0.6369593,32.49321,0.0,1.978087,0.0,3.263541,0.9758829,3.363901,5.43,10.202,6.805991,20.18286,9.837079e-05,2.0
9,01/04/2018 03:00,0.257776,11.76082,0.0,2.130001,0.0,2.161159,0.1769521,0.0,5.43,10.29795,6.796005,20.63655,0.0,2.0
10,01/04/2018 03:20,0.0,0.0,0.0,2.130456,0.0,0.02,0.2497175,0.0,5.43,10.20099,6.809999,20.72233,0.0,2.0
11,01/04/2018 03:40,0.5157517,25.99976,0.0,2.104673,0.0,0.02,0.3439239,0.0,5.43,10.2,6.809999,20.88059,0.0,2.0
12,01/04/2018 04:00,0.3791652,17.89905,0.0,2.027985,0.0,0.02380209,0.4353654,0.0,5.423752,10.2,6.812081,20.85905,0.0,2.0
13,01/04/2018 04:20,0.1289309,5.4056,0.0,1.908963,0.0,0.02,0.5083832,0.0,5.419999,10.2,6.811333,20.87415,0.0,2.0
14,01/04/2018 04:40,0.2577625,12.60236,0.0,1.779522,0.0,0.02,0.5572923,0.0,5.419999,10.2,6.825391,20.80536,0.0,2.0
15,01/04/2018 05:00,0.0,0.0,0.0,1.69597,0.0,0.02,0.5844724,0.0,5.419999,10.2,6.830001,20.85042,0.0,2.0
16,01/04/2018 05:20,0.6288885,22.19159,0.0,1.564684,0.0,0.01775225,0.5994177,0.0,5.419999,10.2,6.830001,20.74998,0.0,2.0
17,01/04/2018 05:40,0.12903,4.183974,0.0,1.547982,0.0,0.02,0.6002861,0.0,5.090095,10.19941,6.830001,20.70727,0.0,2.0
18,01/04/2018 06:00,0.1287894,3.841817,0.0,1.478993,0.0,0.02,0.61,0.0,3.675658,10.2,6.830001,20.78979,0.0,2.0
19,01/04/2018 06:20,0.0,0.0,0.0,1.375414,0.0,0.02,0.61,0.0,3.55449,10.13556,6.830001,20.66638,0.0,2.0
20,01/04/2018 06:40,246.4012,8147.334,1.058987,1.215967,0.0,1.627545,0.6256381,0.0,3.784917,10.1,6.899476,20.84999,0.0,2.0
21,01/04/2018 07:00,146.8237,4769.265,1.865289,1.038977,0.0,3.372853,2.065203,2013.865,4.416712,10.1,6.921976,19.76509,0.0,2.0
22,01/04/2018 07:20,134.8453,4300.79,1.039377,1.165089,0.0,3.370148,2.722233,1403.289,4.807736,10.1,6.866373,17.77968,0.0,2.0
