,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr
0,01/04/2018 00:00,172.689,8881.917,5.342772,1.52,1.098505,2.741028,2.654242,1664.467,6.458421,10.7,7.089999,18.18274,0.002513193,3.0
1,01/04/2018 00:20,20.6793,1073.315,4.640259,1.52,1.757241,2.946384,2.729159,1416.546,6.679044,10.79646,7.045631,17.48481,0.009092233,3.0
2,01/04/2018 00:40,0.420684,23.13922,3.676655,1.552524,2.18,3.093214,2.698947,1317.862,6.67064,10.8,6.993739,17.40026,0.01888344,3.0
3,01/04/2018 01:00,1.671508,79.79693,2.754334,1.624937,2.751343,3.111263,2.736988,1211.012,6.660001,10.8,6.96074,17.47183,0.03346859,3.0
4,01/04/2018 01:20,0.6620342,29.56995,1.881392,1.69452,3.07,3.105879,2.053827,353.7768,6.660001,10.8,6.935159,18.69312,0.0124773,3.0
5,01/04/2018 01:40,0.2979248,15.14889,1.373182,1.662576,3.07,0.4866284,0.1688549,0.0,6.660001,10.7939,6.913162,20.18669,0.0,3.0
6,01/04/2018 02:00,0.1288742,5.576472,1.07932,1.596034,3.07,-0.01,0.2489747,0.0,6.660001,10.7,6.910001,20.39472,0.0,3.0
7,01/04/2018 02:20,0.1287467,5.93018,0.9946453,1.474272,3.07,-0.01,0.1109984,0.0,6.660001,10.78973,6.910001,20.49434,0.0,3.0
8,01/04/2018 02:40,0.258655,11.61233,1.002546,1.384799,3.07,-0.01,0.08934126,0.0,6.660001,10.8,6.910001,20.60563,0.0,3.0
9,01/04/2018 03:00,0.25772,11.91202,1.05745,1.270478,3.07,-0.006775749,0.05533392,0.0,6.660001,10.8,6.914676,20.58331,0.0,3.0
10,01/04/2018 03:20,0.0,0.0,1.138047,1.25182,2.854416,-0.01,0.06912101,0.0,6.660001,10.8,6.922927,20.66018,0.0,3.0
11,01/04/2018 03:40,0.0,0.0,1.163547,1.21039,2.55,-0.01,0.06397774,0.0,6.595493,10.8,6.911546,20.67437,0.0,3.0
12,01/04/2018 04:00,0.0,0.0,1.155906,1.169789,2.55,-0.01,0.082119,0.0,4.922843,10.8,6.922838,20.64812,0.0,3.0
13,01/04/2018 04:20,0.0,0.0,1.122931,1.109456,2.218326,-0.01,0.07098693,0.0,3.991183,10.8,6.929999,20.81477,0.0,3.0
14,01/04/2018 04:40,251.2095,12020.31,1.069126,1.090409,2.03,-0.0070485,0.3373716,0.0,4.011713,10.71857,6.944722,20.6565,0.0,3.0
15,01/04/2018 05:00,175.9732,8085.754,2.489798,1.237234,1.118515,0.6920968,1.563761,1467.019,4.779895,10.7,7.016574,18.89564,0.005712715,3.0
16,01/04/2018 05:20,138.6368,5985.691,3.485776,1.414895,0.2984075,3.356327,2.860156,1014.221,5.250699,10.7,7.016122,17.4828,3.100385e-07,3.0
17,01/04/2018 05:40,71.62837,2937.813,3.062111,1.54451,1.392936,3.350175,2.722411,1014.221,5.552546,10.7,7.032745,16.97332,0.000783835,3.0
18,01/04/2018 06:00,0.0,0.0,2.11032,1.59,1.96463,3.483187,2.823246,1014.221,5.59336,10.7,6.996325,16.93705,0.006109083,3.0
19,01/04/2018 06:20,0.1292142,3.504978,1.187966,1.616514,2.549788,3.556207,2.94454,1014.221,5.580001,10.7,6.956744,16.90255,0.01662606,3.0
20,01/04/2018 06:40,0.894973,23.74256,0.4459558,1.686074,3.13793,3.5605,3.460286,1014.221,5.580001,10.7,6.929196,17.02534,0.02718146,3.0
21,01/04/2018 07:00,0.2579044,7.3574,0.071605,1.793456,3.39,3.552768,3.763774,384.6287,5.574313,10.7,6.919999,18.01775,0.01242629,3.0
22,01/04/2018 07:20,0.5007476,12.66725,0.0,1.885961,3.39,3.339115,1.679444,0.0,5.57,10.7,6.905164,20.68348,0.0,3.0
23,01/04/2018 07:40,0.3865233,9.19122,0.0,1.908875,2.954211,0.6111311,0.8395123,0.0,5.57,10.7,6.900001,20.85271,0.0,3.0
24,01/04/2018 08:00,0.3863395,9.419939,0.0,1.901884,2.799999,-0.001277499,0.7065675,0.0,5.57,10.7,6.900001,20.92447,0.0,3.0
25,01/04/2018 08:20,0.1290583,2.881491,0.0,1.839518,2.799999,-0.01,0.435955,0.0,5.57,10.7,6.900001,20.90015,0.0,3.0
26,01/04/2018 08:40,0.2577055,5.936683,0.0,1.771571,2.799999,-0.01,0.578606,0.0,5.57,10.7,6.900001,20.76712,0.0,3.0
27,01/04/2018 09:00,0.508909,12.51395,0.0,1.695647,2.799999,0.0192536,0.5418206,0.0,5.57,10.7,6.900001,20.7985,0.0,3.0
28,01/04/2018 09:20,0.3476077,10.22034,0.0,1.632406,2.640094,0.07372876,0.3050579,0.0,5.57,10.7,6.900001,20.82797,0.0,3.0
29,01/04/2018 09:40,0.03946835,0.6993376,0.0,1.590465,2.29,-0.01,0.3142076,0.0,4.940259,10.7,6.910839,20.60174,0.0,3.0
30,01/04/2018 10:00,0.0,0.0,0.0,1.512378,2.29,-0.01,0.3078514,0.0,3.952433,10.7,6.919999,20.73588,0.0,3.0
31,01/04/2018 10:20,24.15245,1146.142,0.0,1.37818,1.859756,-0.01,0.216312,0.0,3.752225,10.72147,6.919999,20.66145,0.0,3.0
32,01/04/2018 10:40,420.2423,27217.75,5.634355,1.517628,0.270408,2.787339,1.026287,1114.628,4.639572,10.8,7.135786,19.5591,0.004463636,3.0
33,01/04/2018 11:00,199.0269,15090.03,7.753428,1.516581,0.5156997,3.233748,2.822296,1024.873,5.253078,10.8,7.086751,17.79978,0.001013741,3.0
34,01/04/2018 11:20,170.203,13976.15,8.267279,1.607733,1.322646,2.98166,2.729874,1228.998,5.792901,10.8,7.099246,17.42782,0.002622498,3.0
35,01/04/2018 11:40,2.015058,171.8167,8.473565,1.692721,1.978688,3.037914,2.910129,1094.263,5.978426,10.8,7.08554,17.19011,0.0116369,3.0
36,01/04/2018 12:00,0.0,0.0,7.189386,1.663398,2.733158,3.358818,2.618333,1014.221,5.963923,10.8,7.029778,16.62288,0.02477574,3.0
37,01/04/2018 12:20,0.1306167,9.316491,6.149921,1.736459,3.455765,3.388098,2.711098,1014.221,5.948192,10.86538,6.990273,16.49834,0.04522441,3.0
38,01/04/2018 12:40,0.8969809,71.28472,5.146268,1.784046,4.060406,3.409682,2.940779,1014.221,5.940001,10.84067,6.949216,16.48985,0.06900545,3.0
39,01/04/2018 13:00,0.5078109,36.38069,4.142656,1.821976,4.732816,3.410437,3.197141,1014.221,5.940001,10.82137,6.927269,16.58849,0.09281737,3.0
40,01/04/2018 13:20,0.8878301,62.33531,3.170532,1.886902,5.316224,3.391295,3.159366,661.8483,5.940001,10.9,6.892478,17.12888,0.07189548,3.0
41,01/04/2018 13:40,0.0725475,5.073116,2.393859,1.905608,5.977099,3.11865,0.8284926,0.0,5.940001,10.9,6.863281,19.49805,0.0,3.0
42,01/04/2018 14:00,0.4426518,26.27952,2.097838,1.855434,6.080001,0.1878179,0.03379509,0.0,5.940001,10.97318,6.86,20.15348,0.0,3.0
43,01/04/2018 14:20,0.64413,37.94754,1.949943,1.843892,6.080001,-0.01,0.040253,0.0,5.940001,11.0447,6.86,20.43697,0.0,3.0
44,01/04/2018 14:40,0.2580037,12.22,1.96987,1.841246,6.080001,-0.01,0.05150892,0.0,5.940001,11.1,6.86,20.63365,0.0,3.0
45,01/04/2018 15:00,0.638034,28.43011,1.993788,1.842001,6.080001,-0.01,0.08725384,0.0,5.940001,11.1,6.86,20.75852,0.0,3.0
46,01/04/2018 15:20,0.1286191,4.995847,1.971885,1.842206,6.080001,-0.01,0.09078519,0.0,5.940001,11.1,6.86,20.91057,0.0,3.0
47,01/04/2018 15:40,0.62901,26.0394,1.978323,1.843155,6.080001,-0.01,0.08448733,0.0,5.710896,11.1,6.861833,20.99445,0.0,3.0
48,01/04/2018 16:00,0.0,0.0,1.902756,1.688853,5.7497,-0.01,0.1453611,0.0,4.487542,11.05943,6.86,21.01387,0.0,3.0
49,01/04/2018 16:20,384.3749,18054.53,1.879654,1.550008,5.54,-0.01,1.104906,1092.903,4.375712,11.03538,6.86,20.25597,0.9195896,3.0
50,01/04/2018 16:40,315.7889,15010.03,5.531431,1.426025,2.373017,2.252944,2.791146,1157.463,5.692644,11.1,7.039422,18.16745,2.009652,3.0
51,01/04/2018 17:00,162.7954,7814.544,6.108539,1.408437,2.10051,2.945094,2.686723,1391.189,6.243612,11.17272,7.036987,18.0106,2.090252,3.0
52,01/04/2018 17:20,9.629905,461.1733,5.521894,1.461024,2.313209,2.970693,2.698507,1292.522,6.486926,11.2,7.037546,17.64989,1.723301,3.0
53,01/04/2018 17:40,0.2529542,7.4232,4.52502,1.472985,3.278282,3.130826,2.770217,1202.641,6.472703,11.2,6.991343,17.24349,1.534571,3.0
54,01/04/2018 18:00,1.14012,48.89533,3.6255,1.528132,4.080055,3.17045,2.915192,1110.865,6.47,11.2,6.953664,17.4944,1.224884,3.0
55,01/04/2018 18:20,0.1541925,7.729115,2.845377,1.522752,4.5,3.024781,1.461837,123.6438,6.47,11.2,6.923344,19.88678,0.08552992,3.0
56,01/04/2018 18:40,0.3553717,13.60844,2.477813,1.496093,4.5,1.322054,0.09711252,0.0,6.464071,11.2,6.902087,20.59449,0.0,3.0
57,01/04/2018 19:00,0.0,0.0,2.358222,1.42935,4.5,-0.01,0.1830831,0.0,6.46,11.10147,6.900001,20.78193,0.0,3.0
58,01/04/2018 19:20,0.2789135,13.37215,2.289256,1.360219,4.5,-0.01,0.1019243,0.0,6.46,11.1,6.91429,21.06916,0.0,3.0
59,01/04/2018 19:40,0.365769,18.66371,2.268309,1.23865,4.5,-0.01,0.08734452,0.0,6.46,11.1,6.919999,20.99554,0.0,3.0
