,inflow [l/s],NO2 [gN/m3],O2 [gO2/m3],Time [],NH4 [gN/m3],N20 [gN/h]
0,0.5156808,0.0,1.246811,2018-01-04 00:00:00,0.0,0.0
1,0.0,0.0,0.2799233,2018-01-04 00:20:00,0.0,0.0
2,0.0,0.0,0.4399048,2018-01-04 00:40:00,0.0,0.0
3,0.1292142,0.0,0.1002779,2018-01-04 01:00:00,0.0,0.0
4,0.0,0.0,0.0562913,2018-01-04 01:20:00,0.0,0.0
5,0.0,0.0,0.04256324,2018-01-04 01:40:00,0.0,0.0
6,0.053196,0.0,0.06812565,2018-01-04 02:00:00,0.0,0.0
7,0.0755935,0.0,0.05585208,2018-01-04 02:20:00,0.0,0.0
8,0.1287892,0.0,0.05198916,2018-01-04 02:40:00,0.0,0.0
9,0.0,0.0,0.06383102,2018-01-04 03:00:00,0.0,0.0
10,0.0,0.0,0.05056259,2018-01-04 03:20:00,0.0,0.0
11,170.7071,0.0,0.057133,2018-01-04 03:40:00,0.0,0.0
12,132.2951,0.0,0.7336506,2018-01-04 04:00:00,0.353258,0.0
13,142.1175,0.0,2.737991,2018-01-04 04:20:00,1.78887,0.0
14,160.3253,0.0,2.64388,2018-01-04 04:40:00,1.660282,1.1514190000000002
15,0.1291434,0.0,2.930235,2018-01-04 05:00:00,0.7067561,4.453469
16,0.0,0.0,4.013913,2018-01-04 05:20:00,0.0,3.982325
17,0.8082158,0.0,3.264457,2018-01-04 05:40:00,0.0,0.09911845
18,0.9651687,0.0,2.659658,2018-01-04 06:00:00,0.0,0.238761
19,0.1290583,0.0,1.250258,2018-01-04 06:20:00,0.0,0.0
20,0.5072318,0.0,0.4681768,2018-01-04 06:40:00,0.0,0.0
21,0.2577482,0.0,0.262916,2018-01-04 07:00:00,0.0,0.0
22,0.257521,0.0,0.1919054,2018-01-04 07:20:00,0.0,0.0
23,0.25806,0.0,0.07472894,2018-01-04 07:40:00,0.0,0.0
24,0.0,0.0,0.05193691,2018-01-04 08:00:00,0.0,0.0
25,0.0,0.0,0.06979717,2018-01-04 08:20:00,0.0,0.0
26,0.1286758,0.0,0.1002359,2018-01-04 08:40:00,0.0,0.0
27,0.0,0.0,0.1001881,2018-01-04 09:00:00,0.0,0.0
28,0.1292141,0.0,0.05990032,2018-01-04 09:20:00,0.0,0.0
29,324.686,0.0,0.2642064,2018-01-04 09:40:00,1.755157,0.0
30,199.8487,0.0,2.828399,2018-01-04 10:00:00,2.383444,0.0
31,199.9272,0.0,2.748878,2018-01-04 10:20:00,3.619745,1.819676
32,0.7541258,0.0,2.771263,2018-01-04 10:40:00,2.854874,12.57189
33,0.25014,0.0,2.971405,2018-01-04 11:00:00,0.7849893,23.91791
34,1.484573,0.0,2.920971,2018-01-04 11:20:00,0.0,17.46379
35,2.289402,0.0,2.842322,2018-01-04 11:40:00,0.0,6.566168
36,0.647625,0.0,1.444295,2018-01-04 12:00:00,0.0,0.0
37,1.383847,0.0,0.178532,2018-01-04 12:20:00,0.0,0.0
38,0.5102365,0.0,0.1186534,2018-01-04 12:40:00,0.0,0.0
39,0.2528075,0.0,0.1332401,2018-01-04 13:00:00,0.0,0.0
40,2.386323,0.0,0.04249092,2018-01-04 13:20:00,0.0,0.0
41,0.886045,0.0,0.0382265,2018-01-04 13:40:00,0.0,0.0
42,1.151175,0.0,0.04477934,2018-01-04 14:00:00,0.0,0.0
43,0.25036,0.0,0.07805528,2018-01-04 14:20:00,0.0,0.0
44,0.9101105,0.0,0.04080192,2018-01-04 14:40:00,0.0,0.0
45,172.9118,0.0,0.08241959,2018-01-04 15:00:00,0.0,30.94259
46,234.8899,0.0,2.576073,2018-01-04 15:20:00,1.744184,159.7488
47,205.9417,0.0,2.700616,2018-01-04 15:40:00,2.066133,154.4171
48,34.42731,0.0,2.709591,2018-01-04 16:00:00,1.465569,117.0063
49,0.500665,0.0,3.39622,2018-01-04 16:20:00,0.03217215,82.21082
50,0.0,0.0,3.652997,2018-01-04 16:40:00,0.0,15.671009999999999
51,0.2580314,0.0,1.603765,2018-01-04 17:00:00,0.0,0.0
52,0.3868633,0.0,0.7484432,2018-01-04 17:20:00,0.0,0.0
53,0.1288459,0.0,0.3635635,2018-01-04 17:40:00,0.0,0.0
54,0.6356059,0.0,0.5645241,2018-01-04 18:00:00,0.0,0.0
55,0.0,0.0,0.1656983,2018-01-04 18:20:00,0.0,0.0
56,0.2576352,0.0,0.04940457,2018-01-04 18:40:00,0.0,0.0
57,0.1285058,0.0,0.06417211,2018-01-04 19:00:00,0.0,0.0
58,0.1287892,0.0,0.0619679,2018-01-04 19:20:00,0.0,0.0
59,0.128775,0.0,0.06677829,2018-01-04 19:40:00,0.0,0.0
60,0.0,0.0,0.1695114,2018-01-04 20:00:00,0.0,0.0
61,0.0,0.0,0.1089719,2018-01-04 20:20:00,0.0,0.0
