,inflow [l/s],NO2 [gN/m3],O2 [gO2/m3],Time [],NH4 [gN/m3],N20 [gN/h]
0,0.512635,1.46,0.2741258,2018-01-04 00:00:00,0.01262915,0.0
1,0.3898103,1.46,0.2810071,2018-01-04 00:20:00,0.006529084,0.0
2,0.3790415,1.46,0.3040861,2018-01-04 00:40:00,0.00447675,0.0
3,0.262245,1.46,0.3248377,2018-01-04 01:00:00,0.002003585,0.0
4,0.246471,1.46,0.345226,2018-01-04 01:20:00,0.000933335,0.0
5,0.2575073,1.224869,0.3506461,2018-01-04 01:40:00,0.000471334,0.0
6,0.0,0.95,0.3814936,2018-01-04 02:00:00,0.0,0.0
7,0.0,0.95,0.3720909,2018-01-04 02:20:00,0.0,0.0
8,88.11115,0.95,0.3739821,2018-01-04 02:40:00,0.0,0.0
9,231.1157,0.089495,0.8258618,2018-01-04 03:00:00,5.286761,2.488991
10,185.062,0.6775794,2.647352,2018-01-04 03:20:00,4.298547,0.02049921
11,155.7702,1.328145,2.588912,2018-01-04 03:40:00,4.510135,6.633108
12,1.271428,1.914632,2.714815,2018-01-04 04:00:00,2.459775,8.560079
13,0.0,2.470861,3.137053,2018-01-04 04:20:00,0.5036575,26.210250000000002
14,0.579422,2.508134,3.248471,2018-01-04 04:40:00,0.0,9.079093
15,1.694746,1.923383,2.807562,2018-01-04 05:00:00,0.001335,6.5241370000000005
16,0.1288175,1.151331,1.089333,2018-01-04 05:20:00,0.00187175,0.0
17,0.0,0.95,0.3213131,2018-01-04 05:40:00,0.001331665,0.0
18,0.5159785,0.95,0.2353701,2018-01-04 06:00:00,0.001650165,0.0
19,0.54468,0.154172,0.2504484,2018-01-04 06:20:00,0.0,0.0
20,0.3421169,0.5594029,0.2803023,2018-01-04 06:40:00,0.0,0.0
21,0.2579044,0.0271125,0.3094574,2018-01-04 07:00:00,0.0,0.0
22,0.1285909,0.01438265,0.3278596,2018-01-04 07:20:00,0.0,0.0
23,0.0,0.0,0.3494925,2018-01-04 07:40:00,0.0,0.0
24,0.0,0.0,0.3600001,2018-01-04 08:00:00,0.0,0.0
