,inflow [l/s],NO2 [gN/m3],O2 [gO2/m3],Time [],NH4 [gN/m3],N20 [gN/h]
0,0.1288175,0.0,0.5758291,2018-01-04 00:00:00,0.0,0.0
1,0.0,0.0,0.5939546,2018-01-04 00:20:00,0.0,0.0
2,0.0,0.0,0.6038464,2018-01-04 00:40:00,0.0,0.0
3,239.9187,0.0,0.9803195,2018-01-04 01:00:00,0.0,100.475
4,128.6138,0.0,2.216953,2018-01-04 01:20:00,1.106097,53.86463
5,180.2277,0.0,2.272465,2018-01-04 01:40:00,2.072631,39.50176
6,9.340788,0.0,2.427906,2018-01-04 02:00:00,0.8554729,37.24735
7,0.5933707,0.0,2.998203,2018-01-04 02:20:00,0.0,31.72954
8,0.6369593,0.0,0.9758829,2018-01-04 02:40:00,0.0,0.09837079
9,0.257776,0.0,0.1769521,2018-01-04 03:00:00,0.0,0.0
10,0.0,0.0,0.2497175,2018-01-04 03:20:00,0.0,0.0
11,0.5157517,0.0,0.3439239,2018-01-04 03:40:00,0.0,0.0
12,0.3791652,0.0,0.4353654,2018-01-04 04:00:00,0.0,0.0
13,0.1289309,0.0,0.5083832,2018-01-04 04:20:00,0.0,0.0
14,0.2577625,0.0,0.5572923,2018-01-04 04:40:00,0.0,0.0
15,0.0,0.0,0.5844724,2018-01-04 05:00:00,0.0,0.0
16,0.6288885,0.0,0.5994177,2018-01-04 05:20:00,0.0,0.0
17,0.12903,0.0,0.6002861,2018-01-04 05:40:00,0.0,0.0
18,0.1287894,0.0,0.61,2018-01-04 06:00:00,0.0,0.0
19,0.0,0.0,0.61,2018-01-04 06:20:00,0.0,0.0
20,246.4012,0.0,0.6256381,2018-01-04 06:40:00,1.058987,0.0
21,146.8237,0.0,2.065203,2018-01-04 07:00:00,1.865289,0.0
22,134.8453,0.0,2.722233,2018-01-04 07:20:00,1.039377,0.0
23,79.38671,0.0,3.023215,2018-01-04 07:40:00,0.8276569,0.153194
24,0.6291775,0.0,3.885653,2018-01-04 08:00:00,0.0857635,0.485212
25,0.6534266,0.0,4.59685,2018-01-04 08:20:00,0.0,0.719462
26,0.9910361,0.0,3.098472,2018-01-04 08:40:00,0.0,0.06948342
27,1.210174,0.0,1.597429,2018-01-04 09:00:00,0.0,0.0
28,0.4109752,0.0,0.113386,2018-01-04 09:20:00,0.0,0.0
29,0.2971317,0.0,0.1307574,2018-01-04 09:40:00,0.0,0.0
30,0.894801,0.0,0.1832111,2018-01-04 10:00:00,0.0,0.0
31,0.3864383,0.0,0.2550376,2018-01-04 10:20:00,0.0,0.0
32,0.1854417,0.0,0.3382086,2018-01-04 10:40:00,0.0,0.0
33,0.5793,0.0,0.4216103,2018-01-04 11:00:00,0.0,0.0
34,0.6373715,0.0,0.4941928,2018-01-04 11:20:00,0.0,0.0
35,0.0,0.0,0.544238,2018-01-04 11:40:00,0.0,0.0
36,0.24981,0.0,0.5858157,2018-01-04 12:00:00,0.0,0.0
37,176.3667,0.0,0.6146071,2018-01-04 12:20:00,0.0,0.0
38,257.4362,0.0,0.9451998,2018-01-04 12:40:00,3.146219,0.0
39,214.1678,0.0,2.366788,2018-01-04 13:00:00,6.309975,1.2839850000000002
40,205.5057,0.0,2.258696,2018-01-04 13:20:00,6.969507,14.42221
41,1.858652,0.0,2.390141,2018-01-04 13:40:00,5.670825,37.829750000000004
42,1.750738,0.0,2.694161,2018-01-04 14:00:00,4.303123,59.92834
43,0.630461,0.0,2.733727,2018-01-04 14:20:00,2.971266,85.63907
44,0.9599808,0.0,2.782496,2018-01-04 14:40:00,1.620274,98.18338999999999
45,0.6606121,0.0,2.493001,2018-01-04 15:00:00,0.5284278,77.81287
46,0.4185192,0.0,0.213826,2018-01-04 15:20:00,0.0,0.0
47,0.7587842,0.0,0.2834853,2018-01-04 15:40:00,0.0,0.0
48,0.5079675,0.0,0.4275127,2018-01-04 16:00:00,0.0,0.0
49,0.8942157,0.0,0.5368488,2018-01-04 16:20:00,0.0,0.0
50,0.067986,0.0,0.6111534,2018-01-04 16:40:00,0.0,0.0
51,0.7000825,0.0,0.6551486,2018-01-04 17:00:00,0.0,0.0
52,0.515596,0.0,0.67,2018-01-04 17:20:00,0.0,0.0
53,0.0,0.0,0.67,2018-01-04 17:40:00,0.0,0.0
