,Time [],Temperature [C],N2O_2 [gN/h],O2_2 [mgO_2/m^3],Inflow_2 [l/s]
12510,12-Apr-2016 01:00:00,14.1,0.128444598456433,2.18,7.46666666666667
12511,12-Apr-2016 01:15:00,14.0666666666667,0.130723681077446,2.25333333333333,7.6
12512,12-Apr-2016 01:30:00,14.1,0.123362757151128,2.46875,5.8125
12513,12-Apr-2016 01:45:00,14.1,0.111880539490148,2.33333333333333,7.4
12514,12-Apr-2016 02:00:00,14.0571428571429,0.10869329822407,2.2,5.92857142857143
12515,12-Apr-2016 02:15:00,14.0866666666667,0.109944488348786,2.14,6.2
12516,12-Apr-2016 02:30:00,14.0733333333333,0.111615219973785,2.24,6.46666666666667
12517,12-Apr-2016 02:45:00,14.1,0.108305435515367,2.32666666666667,5.86666666666667
12518,12-Apr-2016 03:00:00,14.01875,0.100409160711579,2.3,6.25
12519,12-Apr-2016 03:15:00,14.08,0.0996615414272104,2.01333333333333,6.2
12520,12-Apr-2016 03:30:00,14.0785714285714,0.101723469986509,2.00714285714286,8.85714285714286
12521,12-Apr-2016 03:45:00,14.0666666666667,0.102713509161782,2.44,21.4666666666667
12522,12-Apr-2016 04:00:00,14.0666666666667,0.0935702872535042,2.54,10.5333333333333
12523,12-Apr-2016 04:15:00,14.0866666666667,0.089769202365127,2.06666666666667,9.2
12524,12-Apr-2016 04:30:00,14.06875,0.0989407286712191,1.775,14.0
12525,12-Apr-2016 04:45:00,14.0133333333333,0.110727545159237,2.19333333333333,12.8666666666667
12526,12-Apr-2016 05:00:00,14.0,0.107791632483558,2.6,10.7857142857143
12527,12-Apr-2016 05:15:00,14.0133333333333,0.0944303055455778,2.45333333333333,12.0666666666667
12528,12-Apr-2016 05:30:00,14.0133333333333,0.0932914825853583,1.98666666666667,24.8666666666667
12529,12-Apr-2016 05:45:00,14.0,0.104979290042376,1.72,29.8666666666667
12530,12-Apr-2016 06:00:00,14.0,0.118085486636162,2.0875,24.125
12531,12-Apr-2016 06:15:00,14.0,0.122581300982893,2.36,11.8
12532,12-Apr-2016 06:30:00,14.0,0.12139248312579,2.38571428571429,7.0
12533,12-Apr-2016 06:45:00,14.0,0.117055189113491,2.22666666666667,5.53333333333333
12534,12-Apr-2016 07:00:00,14.02,0.116874438324806,2.09333333333333,6.66666666666667
12535,12-Apr-2016 07:15:00,14.0066666666667,0.116528608180771,2.12666666666667,5.73333333333333
12536,12-Apr-2016 07:30:00,14.025,0.118845411995255,2.175,5.625
12537,12-Apr-2016 07:45:00,14.0,0.119400036471903,2.29333333333333,7.53333333333333
12538,12-Apr-2016 08:00:00,14.0,0.114972524121952,2.47857142857143,6.14285714285714
