,Time [-],inflow_SB4 [l/s],NH4_load_SB4 [gN/h],NH4_SB4 [gN/m3],NO3_SB4 [gN/m3],NO2_SB4 [gN/m3],TS_SB4 [g/l],DO_SB4 [gO2/l],airflow_SB4 [m3/h],level_SB4 [m],temp_SB4 [°C],pH_SB4 [-],O2_Offgas_SB4 [%],N2O_SB4 [kgN/h]
0,01/04/2018 00:00,0.1380683,5.019965,0.0,4.151913,0.0,0.02,0.4583202,0.0,6.75,10.6,6.71,19.98852,0.0
1,01/04/2018 00:20,0.5082791,21.22266,0.0,4.07297,0.0,0.02289259,0.5355636,0.0,6.75,10.67737,6.71,20.0451,0.0
2,01/04/2018 00:40,0.0,0.0,0.0,4.030292,0.0,0.01,0.5913634,0.0,6.741752,10.62581,6.71,20.20914,0.0
3,01/04/2018 01:00,0.2581874,10.86367,0.0,3.874393,0.0,0.01,0.6394857,0.0,6.472199,10.6,6.71,20.06778,0.0
4,01/04/2018 01:20,0.0,0.0,0.0,3.783878,0.0,0.01,0.6825499,0.0,4.591722,10.6,6.71172,20.39707,0.0
5,01/04/2018 01:40,11.04171,614.8324,0.0,3.549975,0.0,0.01,0.6889061,0.0,4.006519,10.60296,6.720006,20.52593,0.0
6,01/04/2018 02:00,256.2298,14516.81,0.5411639,2.274998,0.0,2.423117,0.8952502,1066.851,4.41198,10.7,6.760026,19.94658,0.0
7,01/04/2018 02:20,174.9427,10126.57,1.176849,1.704817,0.0,3.823205,2.339267,2147.522,4.996101,10.78188,6.793777,17.81111,0.0
8,01/04/2018 02:40,182.4918,10659.11,0.9432284,2.351193,0.0,3.556686,2.278127,2336.937,5.49149,10.8,6.783994,16.9954,0.000205487
9,01/04/2018 03:00,0.37875,17.68009,0.5237321,3.110558,0.0,3.34796,2.54754,1516.957,5.69707,10.83245,6.779989,15.59428,0.002164933
10,01/04/2018 03:20,1.137516,50.88772,0.0,3.82749,0.0,3.357548,3.468566,1018.31,5.690001,10.9,6.75,14.96786,0.000794228
11,01/04/2018 03:40,0.1285484,5.57328,0.0,3.953366,0.0,3.336913,3.771575,185.3032,5.681196,10.9,6.75,18.57108,4.149174e-05
12,01/04/2018 04:00,1.267624,63.89637,0.0,3.991988,0.0,3.271001,2.940261,388.0756,5.68,10.9,6.75,20.21656,0.0
