,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ãƒâ€šÃ‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5,percent_change,modified
0,01/04/2018 10:20,199.9272,11265.68,3.619745,1.819297,0.0,2.929523,2.748878,1398.106,6.062699,10.6,6.859354,16.95226,0.001819676,6.0,0.000238761,9.911845e-05,0.003982325,0.004453469,0.001151419,0.0,0.0
1,01/04/2018 10:40,0.7541258,39.37344,2.854874,2.122022,0.0,3.088541,2.771263,1157.693,6.275774,10.6,6.864559,16.89067,0.01257189,6.0,0.001819676,0.000238761,9.911845e-05,0.003982325,0.004453469,0.0,0.0
2,01/04/2018 11:00,0.25014,15.24531,0.7849893,2.466087,0.0,3.282939,2.971405,1183.643,6.256226,10.6,6.783994,16.46148,0.02391791,6.0,0.01257189,0.001819676,0.000238761,9.911845e-05,0.003982325,0.0,0.0
3,01/04/2018 11:20,1.484573,110.5705,0.0,2.809368,0.0,3.290531,2.920971,763.1515,6.234831,10.6,6.761995,16.50983,0.01746379,6.0,0.02391791,0.01257189,0.001819676,0.000238761,9.911845e-05,0.0,0.0
4,01/04/2018 11:40,2.289402,166.9566,0.0,3.153119,0.0,3.320957,2.842322,478.3992,6.230001,10.6,6.75,18.06074,0.006566168,6.0,0.01746379,0.02391791,0.01257189,0.001819676,0.000238761,0.0,0.0
5,01/04/2018 15:00,172.9118,9004.611,0.0,3.5948,0.0,0.1102426,0.08241959,562.83,4.610477,10.8,6.78,20.50098,0.03094259,6.0,0.006566168,0.01746379,0.02391791,0.01257189,0.001819676,0.0,0.0
6,01/04/2018 15:20,234.8899,11675.32,1.744184,2.564421,0.0,2.205029,2.576073,1664.142,5.39708,10.8,6.821035,17.93834,0.1597488,6.0,0.03094259,0.006566168,0.01746379,0.02391791,0.01257189,0.0,0.0
7,01/04/2018 15:40,205.9417,9717.657,2.066133,2.315353,0.0,3.119835,2.700616,1672.646,6.019726,10.80782,6.824372,17.75493,0.1544171,6.0,0.1597488,0.03094259,0.006566168,0.01746379,0.02391791,0.0,0.0
8,01/04/2018 16:00,34.42731,1602.622,1.465569,2.588615,0.0,3.032317,2.709591,1476.291,6.345904,10.9,6.830814,17.54302,0.1170063,6.0,0.1544171,0.1597488,0.03094259,0.006566168,0.01746379,0.0,0.0
9,01/04/2018 16:20,0.500665,20.7084,0.03217215,3.072182,0.0,3.23889,3.39622,1115.204,6.329417,10.9,6.781174,17.0058,0.08221082,6.0,0.1170063,0.1544171,0.1597488,0.03094259,0.006566168,0.0,0.0
10,01/04/2018 16:40,0.0,0.0,0.0,3.418507,0.0,3.080101,3.652997,315.9054,6.32,10.9319,6.78,19.12977,0.0005776765494636682,6.0,0.08221082,0.1170063,0.1544171,0.1597488,0.03094259,-0.963137248367293,1.0
11,01/04/2018 21:00,241.6042,13211.88,0.008174165,3.095156,0.0,0.07747217,0.356186,1482.773,4.892179,10.95372,6.811442,20.66231,0.000878259,6.0,0.01567101,0.08221082,0.1170063,0.1544171,0.1597488,0.0,0.0
12,01/04/2018 21:20,162.6241,8930.499,1.97723,1.940094,0.0,2.309456,2.372259,2142.49,5.406503,11.0,6.840762,18.66335,0.000210163,6.0,0.000878259,0.01567101,0.08221082,0.1170063,0.1544171,0.0,0.0
13,01/04/2018 21:40,149.7832,8348.983,2.841329,1.623202,0.0,3.211419,2.309487,2094.407,5.915362,11.0,6.878496,18.43937,0.006126655859164079,6.0,0.000210163,0.000878259,0.01567101,0.08221082,0.1170063,-0.5010033548626538,1.0
14,01/04/2018 22:00,0.1823925,4.610986,1.357498,2.008017,0.0,3.299295,2.696713,1550.146,6.012224,11.0,6.846354,17.74511,0.02330039,6.0,0.01227795,0.000210163,0.000878259,0.01567101,0.08221082,0.0,0.0
15,01/04/2018 22:20,1.197328,57.56581,0.03030535,2.441983,0.0,3.417293,3.281993,1223.19,5.990608,11.0,6.801084,17.93615,0.0176761,6.0,0.02330039,0.01227795,0.000210163,0.000878259,0.01567101,0.0,0.0
16,01/04/2018 22:40,1.2593,58.8807,0.0,2.800379,0.0,3.420691,3.090522,503.7321,5.971738,11.0,6.800002,18.91833,0.005711618,6.0,0.0176761,0.02330039,0.01227795,0.000210163,0.000878259,0.0,0.0
17,01/04/2018 23:00,2.261818,113.5689,0.0,3.139382,0.0,3.425844,2.683256,437.3875,5.970001,11.0,6.800002,20.39615,0.00343665,6.0,0.005711618,0.0176761,0.02330039,0.01227795,0.000210163,0.0,0.0
18,02/04/2018 03:20,125.8152,8689.89,2.43792,1.638521,0.0,3.574883,2.550529,1622.701,5.366425,11.0,6.863454,17.55114,0.002996495,6.0,0.00343665,0.005711618,0.0176761,0.02330039,0.01227795,0.0,0.0
19,02/04/2018 03:40,13.50649,929.0845,1.566335,2.017753,0.0,3.491603,2.759767,1373.762,5.534257,11.0,6.855427,17.42417,0.01071426,6.0,0.002996495,0.00343665,0.005711618,0.0176761,0.02330039,0.0,0.0
20,02/04/2018 04:00,0.1286191,7.003299,0.1665665,2.445201,0.0,3.571492,3.316429,1129.943,5.514482,11.0,6.815085,17.12476,0.025995330796773346,6.0,0.01071426,0.002996495,0.00343665,0.005711618,0.0176761,0.8996408154703365,1.0
21,02/04/2018 04:20,0.0,0.0,0.0,2.872199,0.0,3.616578,4.003674,377.6533,5.494027,11.0,6.809999,17.55174,0.004600186,6.0,0.01368434,0.01071426,0.002996495,0.00343665,0.005711618,0.0,0.0
22,02/04/2018 04:40,1.143859,66.6787,0.0,3.238431,0.0,3.563124,2.77929,412.3851,5.489999,11.0,6.809999,18.49056,0.006875125889556763,6.0,0.004600186,0.01368434,0.01071426,0.002996495,0.00343665,0.7262110848985944,1.0
23,02/04/2018 09:20,171.726,7832.273,2.649774,1.947598,0.0,3.127218,2.830213,1234.23,5.837934,10.8,6.896298,17.28838,0.001316892,6.0,0.003982784,0.004600186,0.01368434,0.01071426,0.002996495,0.0,0.0
24,02/04/2018 09:40,1.018442,43.4409,1.290416,2.301102,0.0,3.229252,2.749781,1237.175,5.966449,10.8,6.857331,16.0764,0.01455127548194967,6.0,0.001316892,0.003982784,0.004600186,0.01368434,0.01071426,0.6560192425030067,1.0
25,02/04/2018 10:00,0.0,0.0,0.1193133,2.688557,0.0,3.368069,3.916372,939.1699,5.943829,10.8,6.822984,16.61663,0.0030958375568524788,6.0,0.0087869,0.001316892,0.003982784,0.004600186,0.01368434,-0.6712695356573958,1.0
26,02/04/2018 10:20,1.267845,74.63856,0.0,3.061113,0.0,3.378839,3.125781,193.8159,5.93,10.8,6.820001,18.69839,0.000702191,6.0,0.009417556,0.0087869,0.001316892,0.003982784,0.004600186,0.0,0.0
27,02/04/2018 10:40,1.634671,101.6259,0.0,3.406567,0.0,3.305808,2.311261,203.5133,5.93,10.8,6.820001,19.29028,0.000278774,6.0,0.000702191,0.009417556,0.0087869,0.001316892,0.003982784,0.0,0.0
28,02/04/2018 15:00,141.0265,15081.54,6.822295,1.741568,0.0,3.556885,2.163543,2531.462,5.419583,11.57036,6.909623,18.48227,0.005803888,6.0,0.000278774,0.000702191,0.009417556,0.0087869,0.001316892,0.0,0.0
29,02/04/2018 15:20,144.7099,15181.15,8.024472,2.02583,0.0,3.220636,2.106441,2531.462,5.87319,11.71578,6.943322,17.95878,0.02207241406383625,6.0,0.005803888,0.000278774,0.000702191,0.009417556,0.0087869,-0.5314909150839764,1.0
30,02/04/2018 15:40,0.1288598,10.96438,6.060917,2.432159,0.0,3.277088,2.374892,2100.016,5.957387,11.8,6.926562,17.67185,0.08348013,6.0,0.04711203,0.005803888,0.000278774,0.000702191,0.009417556,0.0,0.0
31,02/04/2018 16:00,0.37925,28.83708,3.610872,2.866634,0.0,3.382956,2.669287,1674.668,5.936431,11.8,6.868804,17.3052,0.1108569,6.0,0.08348013,0.04711203,0.005803888,0.000278774,0.000702191,0.0,0.0
32,02/04/2018 16:20,1.846603,151.3528,1.85072,3.242995,0.0,3.407176,2.597075,1525.541,5.93,11.8,6.83181,17.43788,0.1267261,6.0,0.1108569,0.08348013,0.04711203,0.005803888,0.000278774,0.0,0.0
33,02/04/2018 16:40,2.168811,176.5736,0.4860457,3.608344,0.0,3.408044,2.806979,1134.019,5.924477,11.8,6.807525,17.19476,0.1040247,6.0,0.1267261,0.1108569,0.08348013,0.04711203,0.005803888,0.0,0.0
