,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ãƒâ€šÃ‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5,percent_change,modified
20,02/04/2018 03:00,0.0,0.0,0.4882987,2.302281,2.486031,3.863985,3.164001,1084.823,5.319579,11.0,6.915998,17.97733,0.04443369968734706,5.0,0.02148406,0.004914645,0.002389184,0.01101122,0.03180382,0.9773893996787428,1.0
21,02/04/2018 03:20,0.01192835,0.1163056,0.0,2.740856,2.201783,3.912798,4.197734,531.7914,5.303123,11.0,6.910001,19.59615,0.014669239282901295,5.0,0.02247089,0.02148406,0.004914645,0.002389184,0.01101122,0.6977217271159426,1.0
22,02/04/2018 08:00,148.3194,7884.795,3.015816,1.696019,0.4861067,3.67925,2.722282,1254.864,4.639778,10.8,6.998857,18.31831,2.340158e-06,5.0,0.008640544,0.02247089,0.02148406,0.004914645,0.002389184,0.0,0.0
23,02/04/2018 08:20,94.30944,4828.426,2.033663,2.033092,1.321743,3.470574,2.959623,1205.437,5.009077,10.8,6.966107,17.81251,0.000861969,5.0,2.340158e-06,0.008640544,0.02247089,0.02148406,0.004914645,0.0,0.0
24,02/04/2018 08:40,0.5691675,27.28548,0.3649635,2.353819,1.96599,3.807262,3.753479,1014.221,5.089999,10.8,6.923771,17.90708,0.002507785,5.0,0.000861969,2.340158e-06,0.008640544,0.02247089,0.02148406,0.0,0.0
25,02/04/2018 09:00,0.0,0.0,0.0,2.733156,1.520082,3.97213,5.329176,1014.221,5.076985,10.8,6.925596,18.31112,0.003024312,5.0,0.002507785,0.000861969,2.340158e-06,0.008640544,0.02247089,0.0,0.0
26,02/04/2018 09:20,0.2508275,9.09833,0.0,3.095166,0.4918576,3.993649,5.084697,22.46417,5.060482,10.8,6.946799,20.1734,8.580846791392629e-05,5.0,0.003024312,0.002507785,0.000861969,2.340158e-06,0.008640544,0.9024407572103543,1.0
27,02/04/2018 14:00,182.8847,20605.28,12.87935,1.350327,0.526938,3.501118,2.095566,2523.282,5.030966,11.63838,7.116003,18.81486,0.01135569,5.0,4.510441e-05,0.003024312,0.002507785,0.000861969,2.340158e-06,0.0,0.0
28,02/04/2018 14:20,111.7598,12372.03,11.58324,1.716789,1.603182,3.530106,2.106821,2523.282,5.457495,11.77905,7.089031,18.39827,0.05431281,5.0,0.01135569,4.510441e-05,0.003024312,0.002507785,0.000861969,0.0,0.0
29,02/04/2018 14:40,0.4864075,45.10292,9.036143,2.108578,2.425762,3.65956,2.440075,2014.603,5.559999,11.9,7.039228,18.23954,0.1006387,5.0,0.05431281,0.01135569,4.510441e-05,0.003024312,0.002507785,0.0,0.0
30,02/04/2018 15:00,0.04740165,2.845384,6.309416,2.471942,3.179169,3.769313,2.644938,1679.147,5.544131,11.9,6.970396,17.72525,0.13847,5.0,0.1006387,0.05431281,0.01135569,4.510441e-05,0.003024312,0.0,0.0
31,02/04/2018 15:20,1.76075,159.1455,4.081063,2.828395,4.552336,3.772747,2.664462,1541.045,5.529999,11.9,6.928395,17.35915,0.1801928,5.0,0.13847,0.1006387,0.05431281,0.01135569,4.510441e-05,0.0,0.0
32,02/04/2018 15:40,1.715322,146.8805,2.260251,3.138883,4.336719,3.779622,2.610241,1473.866,5.529999,11.98757,6.867877,17.27777,0.2293115,5.0,0.1801928,0.13847,0.1006387,0.05431281,0.01135569,0.0,0.0
33,02/04/2018 16:00,1.809134,169.808,0.9704618,3.466621,5.763718,3.779024,2.80758,1255.736,5.529999,12.0,6.844684,17.25818,0.04832586652457571,5.0,0.2293115,0.1801928,0.13847,0.1006387,0.05431281,-0.8016351353615278,1.0
34,02/04/2018 16:20,0.1293275,10.74828,0.3168282,3.767157,5.665292,3.774425,3.024431,531.4979,5.529999,12.0,6.830001,18.13776,0.1134459,5.0,0.2436211,0.2293115,0.1801928,0.13847,0.1006387,0.0,0.0
35,02/04/2018 19:40,196.2144,19583.97,5.379388,2.610176,4.412892,1.529805,1.216211,1482.22,5.0275,12.0,6.974305,20.37724,1.028822,5.0,0.1134459,0.2436211,0.2293115,0.1801928,0.13847,0.0,0.0
36,02/04/2018 20:00,442.1495,44217.08,11.89497,1.900901,3.141265,3.035653,2.753019,1774.886,5.988917,12.0,7.0997,18.67209,2.835996,5.0,1.028822,0.1134459,0.2436211,0.2293115,0.1801928,0.0,0.0
37,02/04/2018 20:20,64.48546,6451.021,10.46475,2.23865,3.475414,2.924836,2.288552,1774.886,6.712081,12.0,7.053387,18.09319,2.477462,5.0,2.835996,1.028822,0.1134459,0.2436211,0.2293115,0.0,0.0
38,02/04/2018 20:40,0.249535,19.07503,8.102017,2.466992,4.317966,3.167039,2.59075,1774.886,6.730001,12.0,7.009393,17.74712,2.46787,5.0,2.477462,2.835996,1.028822,0.1134459,0.2436211,0.0,0.0
39,02/04/2018 21:00,1.638463,144.7305,6.377779,2.724925,5.051043,3.254608,2.699229,1574.608,6.72,12.0,6.959638,17.29365,2.088527,5.0,2.46787,2.477462,2.835996,1.028822,0.1134459,0.0,0.0
40,02/04/2018 21:20,1.508885,129.2674,4.957311,3.012737,6.026538,3.248765,2.658681,1471.463,6.72,12.00233,6.928733,17.18947,1.808582,5.0,2.088527,2.46787,2.477462,2.835996,1.028822,0.0,0.0
41,02/04/2018 21:40,1.136106,107.8332,3.799419,3.306163,6.712429,3.251986,2.661855,1358.453,6.72,12.00468,6.895045,17.05433,0.19112891917066954,5.0,1.808582,2.088527,2.46787,2.477462,2.835996,-0.8771101930571853,1.0
42,02/04/2018 22:00,2.265236,204.309,2.554951,3.511734,7.357925,3.250421,2.698629,1383.498,6.72,12.0,6.862043,16.8825,1.492237,5.0,1.555287,1.808582,2.088527,2.46787,2.477462,0.0,0.0
43,02/04/2018 22:20,3.158079,305.9964,1.385351,3.7283,7.976408,3.25,2.781111,1340.395,6.715158,12.0,6.832697,17.32078,2.4336844502119996,5.0,1.492237,1.555287,1.808582,2.088527,2.46787,0.9152584597971791,1.0
44,02/04/2018 22:40,0.1291575,11.22476,0.6325985,3.933249,8.37,3.055703,1.963212,124.2801,6.71,12.0,6.810694,19.33763,0.1091503,5.0,1.270682,1.492237,1.555287,1.808582,2.088527,0.0,0.0
45,03/04/2018 01:40,150.8671,13919.0,5.51075,1.960717,6.21,3.594115,1.827781,1519.403,5.112584,12.1,6.986047,19.22377,0.9212195316609932,5.0,0.1091503,1.270682,1.492237,1.555287,1.808582,-0.7539159625173251,1.0
46,03/04/2018 02:00,140.7935,12832.84,6.575234,1.932279,6.21,3.472647,2.569197,1520.054,5.556579,12.1,6.968663,18.3927,3.604595,5.0,3.743516,0.1091503,1.270682,1.492237,1.555287,0.0,0.0
47,03/04/2018 02:20,48.0593,4320.077,6.26728,2.181872,6.21,3.404686,2.542717,1774.886,5.825476,12.1,6.983306,18.34578,3.727183,5.0,3.604595,3.743516,0.1091503,1.270682,1.492237,0.0,0.0
48,03/04/2018 02:40,0.2576492,19.19683,4.344582,2.549151,7.112857,3.541797,2.674321,1624.12,5.845228,12.1,6.959394,18.14842,3.094178,5.0,3.727183,3.604595,3.743516,0.1091503,1.270682,0.0,0.0
49,03/04/2018 03:00,0.249975,16.48354,2.626032,2.865477,6.891249,3.682138,2.751411,1522.789,5.82443,12.1,6.915393,18.10281,2.563238,5.0,3.094178,3.727183,3.604595,3.743516,0.1091503,0.0,0.0
50,03/04/2018 03:20,1.89555,148.1026,1.325423,3.205583,8.216433,3.644201,2.725499,1348.731,5.82,12.1,6.889524,17.78698,0.3825222941824815,5.0,2.563238,3.094178,3.727183,3.604595,3.743516,-0.8126019696063099,1.0
51,03/04/2018 03:40,2.140257,159.7896,0.6146805,3.562191,8.322407,3.641432,2.768988,1094.308,5.82,12.1,6.87,17.6395,1.584707,5.0,2.041229,2.563238,3.094178,3.727183,3.604595,0.0,0.0
52,03/04/2018 04:00,1.01579,75.65021,0.2887433,3.860815,6.853717,3.628683,3.881228,1022.4,5.82,12.1,6.87,17.71925,0.3896129086136977,5.0,1.584707,2.041229,2.563238,3.094178,3.727183,-0.7206627382363207,1.0
53,03/04/2018 04:20,1.01007,75.81399,0.2658238,4.218295,7.943746,3.619423,4.69367,993.6417,5.82,12.1,6.880923,18.85872,1.516322044966937,5.0,1.394776,1.584707,2.041229,2.563238,3.094178,0.7410425906435129,1.0
54,03/04/2018 07:20,277.0439,19087.21,1.061071,4.08621,4.994272,1.187292,0.863223,846.7617,4.754957,11.89349,6.96348,20.44221,0.6804121,5.0,0.8709276,1.394776,1.584707,2.041229,2.563238,0.0,0.0
55,03/04/2018 07:40,185.7598,12320.44,3.458822,3.111422,3.682677,3.445802,2.734229,1385.931,5.293584,11.84573,7.04935,18.21079,2.712604,5.0,0.6804121,0.8709276,1.394776,1.584707,2.041229,0.0,0.0
56,03/04/2018 08:00,185.9043,11714.28,3.547256,3.345403,4.14,3.275466,2.612627,1430.789,5.828262,11.71266,7.012183,17.77944,3.050972,5.0,2.712604,0.6804121,0.8709276,1.394776,1.584707,0.0,0.0
57,03/04/2018 08:20,4.057508,243.9961,2.330766,3.630785,4.781359,3.343169,2.719453,1416.952,6.029661,11.7,6.99555,17.57691,2.661736,5.0,3.050972,2.712604,0.6804121,0.8709276,1.394776,0.0,0.0
58,03/04/2018 08:40,0.380417,18.63528,0.6673009,3.944703,5.202008,3.498791,2.8776,1239.739,6.015326,11.7,6.940604,17.34489,2.196842,5.0,2.661736,3.050972,2.712604,0.6804121,0.8709276,0.0,0.0
59,03/04/2018 09:00,2.011817,111.2502,0.05499175,4.288445,5.586683,3.535501,2.888071,713.4999,6.002076,11.7,6.913335,18.4676,0.7204622,5.0,2.196842,2.661736,3.050972,2.712604,0.6804121,0.0,0.0
60,03/04/2018 09:20,1.762315,128.9771,0.02673775,4.576495,5.164156,3.534718,2.805083,463.0729,6.0,11.7,6.910001,20.16643,0.2112832,5.0,0.7204622,2.196842,2.661736,3.050972,2.712604,0.0,0.0
61,03/04/2018 13:00,189.3538,21070.63,8.575681,2.651164,1.032919,3.665299,0.9588379,1522.235,4.806071,12.17829,7.158603,19.86325,3.068196,5.0,0.2112832,0.7204622,2.196842,2.661736,3.050972,0.0,0.0
62,03/04/2018 13:20,139.6283,15258.76,9.258982,2.550002,1.613773,3.604887,2.349954,2342.899,5.289486,12.2,7.088403,18.78103,5.194889,5.0,3.068196,0.2112832,0.7204622,2.196842,2.661736,0.0,0.0
63,03/04/2018 13:40,155.9098,16663.87,8.492083,2.848896,2.278249,3.466251,2.028909,2334.293,5.734565,12.23348,7.039117,18.18068,2.136839813074041,5.0,5.194889,3.068196,0.2112832,0.7204622,2.196842,-0.5135581499632487,1.0
64,03/04/2018 14:00,0.835837,74.58386,6.855658,3.150394,1.251109,3.522166,2.296445,2043.089,5.87314,12.30073,7.029871,17.97476,3.219555,5.0,4.392796,5.194889,3.068196,0.2112832,0.7204622,0.0,0.0
65,03/04/2018 14:20,0.03211085,0.4265006,4.305332,3.491086,0.0,3.624282,2.482083,1993.394,5.854686,12.3,6.971207,18.01041,0.44040019951207166,5.0,3.219555,4.392796,5.194889,3.068196,0.2112832,-0.8371886291199793,1.0
66,03/04/2018 14:40,2.12731,186.7645,2.488653,3.768748,0.0,3.64,2.4717,1774.886,5.849999,12.39769,6.935469,18.05014,2.105676,5.0,2.704972,3.219555,4.392796,5.194889,3.068196,0.0,0.0
67,03/04/2018 15:00,2.63063,241.8134,1.017868,4.04037,0.0,3.64,2.716525,1480.455,5.843529,12.43396,6.905211,17.96659,1.557058,5.0,2.105676,2.704972,3.219555,4.392796,5.194889,0.0,0.0
68,03/04/2018 15:20,1.044711,84.87314,0.4088582,4.366165,0.0,3.64,3.382831,1136.969,5.839999,12.5,6.881999,18.02515,1.800286924713291,5.0,1.557058,2.105676,2.704972,3.219555,4.392796,0.6370769055387043,1.0
69,03/04/2018 15:40,2.352693,204.1272,0.3175594,4.750391,0.0,3.639323,4.161855,1018.31,5.839999,12.5,6.902526,18.36008,0.8555024,5.0,1.099696,1.557058,2.105676,2.704972,3.219555,0.0,0.0
70,03/04/2018 16:00,2.515383,222.1493,0.3148172,5.089897,0.0,3.604801,3.893316,226.1134,5.839999,12.5,6.915691,19.91723,0.1146329,5.0,0.8555024,1.099696,1.557058,2.105676,2.704972,0.0,0.0
71,03/04/2018 19:00,173.8575,17757.49,9.91926,3.040215,0.004844665,3.113138,1.012324,1833.295,5.076651,12.5,7.179573,20.30424,1.366128,5.0,0.1146329,0.8555024,1.099696,1.557058,2.105676,0.0,0.0
72,03/04/2018 19:20,142.5564,14555.96,9.004172,2.950682,0.0,3.456891,2.028322,2527.372,5.560436,12.5,7.080636,18.75117,3.717744,5.0,1.366128,0.1146329,0.8555024,1.099696,1.557058,0.0,0.0
73,03/04/2018 19:40,146.8281,14966.96,8.597725,3.151487,0.0,3.325591,1.958318,2527.372,6.009781,12.5,7.04208,18.19583,3.317312,5.0,3.717744,1.366128,0.1146329,0.8555024,1.099696,0.0,0.0
74,03/04/2018 20:00,0.2553452,20.67283,6.688283,3.431359,0.0,3.434129,2.252779,2312.776,6.124548,12.5,7.03371,17.86271,2.77533,5.0,3.317312,3.717744,1.366128,0.1146329,0.8555024,0.0,0.0
75,03/04/2018 20:20,0.3788375,30.27313,3.965073,3.73917,0.0,3.528821,2.274932,1774.886,6.104164,12.5,6.978692,17.61608,1.89066,5.0,2.77533,3.317312,3.717744,1.366128,0.1146329,0.0,0.0
