,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ãƒâ€šÃ‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5,percent_change,modified
0,01/04/2018 02:40,0.6369593,32.49321,0.0,1.978087,0.0,3.263541,0.9758829,3.363901,5.43,10.202,6.805991,20.18286,9.837079e-05,2.0,0.03172954,0.03724735,0.03950176,0.05386463,0.100475,0.0,0.0
1,01/04/2018 07:40,79.38671,2512.833,0.8276569,1.496093,0.0,3.007741,3.023215,1040.982,5.16842,10.1,6.876006,17.44277,0.000153194,2.0,9.837079e-05,0.03172954,0.03724735,0.03950176,0.05386463,0.0,0.0
2,01/04/2018 08:00,0.6291775,15.58652,0.0857635,1.672821,0.0,3.304827,3.885653,1022.4,5.199999,10.1,6.834987,17.48525,0.000485212,2.0,0.000153194,9.837079e-05,0.03172954,0.03724735,0.03950176,0.0,0.0
3,01/04/2018 08:20,0.6534266,16.67635,0.0,1.96504,0.0,3.405075,4.59685,585.9501,5.199999,10.1,6.830001,18.69206,0.0013868616645679689,2.0,0.000485212,0.000153194,9.837079e-05,0.03172954,0.03724735,0.9276371296440517,1.0
4,01/04/2018 08:40,0.9910361,25.28925,0.0,2.219473,0.0,3.335681,3.098472,600.0537,5.199999,10.1,6.849669,20.27272,2.810422884017946e-06,2.0,0.000719462,0.000485212,0.000153194,9.837079e-05,0.03172954,-0.9595526114860502,1.0
5,01/04/2018 13:00,214.1678,19439.14,6.309975,0.946726,0.0,3.118712,2.366788,2030.573,5.208519,10.43808,6.978355,18.72606,0.001283985,2.0,6.948342e-05,0.000719462,0.000485212,0.000153194,9.837079e-05,0.0,0.0
6,01/04/2018 13:20,205.5057,18102.36,6.969507,1.223523,0.0,2.812528,2.258696,2192.23,5.853076,10.558,6.982091,18.28094,0.006724228816702821,2.0,0.001283985,6.948342e-05,0.000719462,0.000485212,0.000153194,-0.5337587778362108,1.0
7,01/04/2018 13:40,1.858652,145.5675,5.670825,1.450865,0.0,2.991533,2.390141,1762.617,6.048615,10.64716,6.936477,18.17024,0.03782975,2.0,0.01442221,0.001283985,6.948342e-05,0.000719462,0.000485212,0.0,0.0
8,01/04/2018 14:00,1.750738,112.607,4.303123,1.659713,0.0,3.06,2.694161,1586.177,6.04,10.7,6.893203,17.94443,0.05992834,2.0,0.03782975,0.01442221,0.001283985,6.948342e-05,0.000719462,0.0,0.0
9,01/04/2018 14:20,0.630461,36.19115,2.971266,1.950261,0.0,3.043019,2.733727,1517.433,6.04,10.7,6.848561,17.46076,0.08563907,2.0,0.05992834,0.03782975,0.01442221,0.001283985,6.948342e-05,0.0,0.0
10,01/04/2018 14:40,0.9599808,53.38634,1.620274,2.221726,0.0,2.86089,2.782496,1297.234,6.04,10.75499,6.822465,17.65306,0.09818339,2.0,0.08563907,0.05992834,0.03782975,0.01442221,0.001283985,0.0,0.0
