,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ãƒâ€šÃ‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5,percent_change,modified
0,01/04/2018 05:00,175.9732,8085.754,2.489798,1.237234,1.118515,0.6920968,1.563761,1467.019,4.779895,10.7,7.016574,18.89564,0.005712715,3.0,0.0124773,0.03346859,0.01888344,0.009092233,0.002513193,0.0,0.0
1,01/04/2018 05:20,138.6368,5985.691,3.485776,1.414895,0.2984075,3.356327,2.860156,1014.221,5.250699,10.7,7.016122,17.4828,3.100385e-07,3.0,0.005712715,0.0124773,0.03346859,0.01888344,0.009092233,0.0,0.0
2,01/04/2018 05:40,71.62837,2937.813,3.062111,1.54451,1.392936,3.350175,2.722411,1014.221,5.552546,10.7,7.032745,16.97332,0.000783835,3.0,3.100385e-07,0.005712715,0.0124773,0.03346859,0.01888344,0.0,0.0
3,01/04/2018 06:00,0.0,0.0,2.11032,1.59,1.96463,3.483187,2.823246,1014.221,5.59336,10.7,6.996325,16.93705,0.006109083,3.0,0.000783835,3.100385e-07,0.005712715,0.0124773,0.03346859,0.0,0.0
4,01/04/2018 06:20,0.1292142,3.504978,1.187966,1.616514,2.549788,3.556207,2.94454,1014.221,5.580001,10.7,6.956744,16.90255,0.0326602244183604,3.0,0.006109083,0.000783835,3.100385e-07,0.005712715,0.0124773,0.9643995281119161,1.0
5,01/04/2018 06:40,0.894973,23.74256,0.4459558,1.686074,3.13793,3.5605,3.460286,1014.221,5.580001,10.7,6.929196,17.02534,0.0027345885957297013,3.0,0.01662606,0.006109083,0.000783835,3.100385e-07,0.005712715,-0.8993950804802354,1.0
6,01/04/2018 07:00,0.2579044,7.3574,0.071605,1.793456,3.39,3.552768,3.763774,384.6287,5.574313,10.7,6.919999,18.01775,0.020133671731544393,3.0,0.02718146,0.01662606,0.006109083,0.000783835,3.100385e-07,0.6202480170303764,1.0
7,01/04/2018 10:40,420.2423,27217.75,5.634355,1.517628,0.270408,2.787339,1.026287,1114.628,4.639572,10.8,7.135786,19.5591,0.004463636,3.0,0.01242629,0.02718146,0.01662606,0.006109083,0.000783835,0.0,0.0
8,01/04/2018 11:00,199.0269,15090.03,7.753428,1.516581,0.5156997,3.233748,2.822296,1024.873,5.253078,10.8,7.086751,17.79978,0.0017852243796283385,3.0,0.004463636,0.01242629,0.02718146,0.01662606,0.006109083,0.7610261197173029,1.0
9,01/04/2018 11:20,170.203,13976.15,8.267279,1.607733,1.322646,2.98166,2.729874,1228.998,5.792901,10.8,7.099246,17.42782,0.002622498,3.0,0.001013741,0.004463636,0.01242629,0.02718146,0.01662606,0.0,0.0
