,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ã‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5
5,01/04/2018 06:40,64.60119,2149.907,1.525936,2.134958,0.9761714,3.2353,2.79069,1006.041,5.510646,11.5,7.03048,17.23966,7.904959e-10,1.0,0.007043099,0.01922872,0.006148356,0.003819264,0.02495852
6,01/04/2018 07:00,0.0,0.0,0.0970775,2.337484,1.509351,3.580254,3.206355,1006.041,5.515658,11.5,6.953818,17.13359,3.662155e-05,1.0,7.904959e-10,0.007043099,0.01922872,0.006148356,0.003819264
7,01/04/2018 07:20,0.6373373,16.22243,0.0,2.566896,1.096754,3.650267,4.520551,676.1598,5.510001,11.5,6.929999,18.97411,0.000230677,1.0,3.662155e-05,7.904959e-10,0.007043099,0.01922872,0.006148356
8,01/04/2018 07:40,0.0,0.0,0.0,2.797303,0.8649842,2.80477,3.063553,29.39972,5.510001,11.5,6.934771,19.22353,9.281422e-07,1.0,0.000230677,3.662155e-05,7.904959e-10,0.007043099,0.01922872
9,01/04/2018 08:00,1.378237,34.87221,0.0,2.871596,0.013464,1.151053,2.139429,218.9598,5.507039,11.5,6.939751,18.6574,3.13585e-05,1.0,9.281422e-07,0.000230677,3.662155e-05,7.904959e-10,0.007043099
10,01/04/2018 12:20,170.1361,15640.13,9.593899,1.821861,0.6371524,3.166528,2.691001,1762.617,5.883696,11.75926,7.105633,17.85843,0.001888403,1.0,3.13585e-05,9.281422e-07,0.000230677,3.662155e-05,7.904959e-10
11,01/04/2018 12:40,0.37925,27.55555,8.099871,2.068388,1.456488,3.369327,2.67977,1436.886,6.017984,11.8,7.054093,17.72019,0.01084849,1.0,0.001888403,3.13585e-05,9.281422e-07,0.000230677,3.662155e-05
12,01/04/2018 13:00,0.6284485,42.67691,6.186591,2.342965,2.268259,3.485625,2.77961,1229.553,6.000975,11.8,6.995227,17.15139,0.02143679,1.0,0.01084849,0.001888403,3.13585e-05,9.281422e-07,0.000230677
13,01/04/2018 13:20,3.51537,251.2876,4.766483,2.565408,3.004272,3.487277,2.811476,1225.281,5.987414,11.8,6.948409,17.35063,0.02956439,1.0,0.02143679,0.01084849,0.001888403,3.13585e-05,9.281422e-07
14,01/04/2018 13:40,2.146551,133.7259,3.440449,2.829151,3.640157,3.472214,2.743221,1218.781,5.984464,11.8,6.920931,16.64339,0.05891947,1.0,0.02956439,0.02143679,0.01084849,0.001888403,3.13585e-05
15,01/04/2018 14:00,1.392429,90.61596,2.171552,3.02666,4.431104,3.470001,2.90516,1006.041,5.985874,11.84092,6.873335,16.59065,0.06707179,1.0,0.05891947,0.02956439,0.02143679,0.01084849,0.001888403
16,01/04/2018 14:20,2.256597,141.3718,1.105814,3.214305,4.809999,3.436791,1.848052,473.2859,5.982642,11.9,6.84087,17.69796,0.03730943,1.0,0.06707179,0.05891947,0.02956439,0.02143679,0.01084849
17,01/04/2018 17:20,425.0558,20228.52,2.296389,2.463901,3.79588,1.322004,1.601234,1514.852,4.615124,12.0,6.914349,19.8635,1.372323,1.0,0.03730943,0.06707179,0.05891947,0.02956439,0.02143679
18,01/04/2018 17:40,224.5437,11166.08,5.335608,1.748152,2.380001,3.147928,2.556378,1457.142,5.577966,12.0,7.013957,18.29316,2.580337,1.0,1.372323,0.03730943,0.06707179,0.05891947,0.02956439
19,01/04/2018 18:00,107.6077,5517.192,5.180335,1.957086,2.76207,3.188712,2.217777,1664.467,6.042571,12.0,7.012289,18.46443,2.270718,1.0,2.580337,1.372323,0.03730943,0.06707179,0.05891947
20,01/04/2018 18:20,0.1286193,5.647738,3.889268,2.16177,3.422646,3.326934,2.167908,1664.467,6.128498,12.0,6.991347,18.27583,1.947598,1.0,2.270718,2.580337,1.372323,0.03730943,0.06707179
21,01/04/2018 18:40,0.7575523,30.93127,2.534097,2.370868,4.148128,3.43017,2.603675,1593.572,6.112937,12.03981,6.947381,18.69816,1.455058,1.0,1.947598,2.270718,2.580337,1.372323,0.03730943
22,01/04/2018 19:00,1.517306,75.64336,1.353073,2.572552,4.334767,3.40836,0.8886343,192.4303,6.11,12.1,6.921243,20.49439,0.08164231,1.0,1.455058,1.947598,2.270718,2.580337,1.372323
23,01/04/2018 23:00,402.3848,24230.82,4.414725,1.994547,0.6577111,3.360573,0.8508277,2226.112,5.549854,12.0,7.07371,20.24217,0.5319042,1.0,0.08164231,1.455058,1.947598,2.270718,2.580337
24,01/04/2018 23:20,151.9518,9384.807,4.201186,2.055575,0.9591954,3.12129,2.583512,1908.681,6.212308,12.0,7.041121,18.47499,0.5484703,1.0,0.5319042,0.08164231,1.455058,1.947598,2.270718
25,01/04/2018 23:40,106.483,6649.97,3.557894,2.187778,1.4,3.112781,2.509109,1766.707,6.650778,12.0132,7.012373,18.1283,0.4308235,1.0,0.5484703,0.5319042,0.08164231,1.455058,1.947598
26,02/04/2018 00:00,0.3793666,20.06384,2.353505,2.396763,1.897778,3.153745,2.742093,1619.327,6.693277,12.1,6.981565,17.90477,0.3458403,1.0,0.4308235,0.5484703,0.5319042,0.08164231,1.455058
27,02/04/2018 00:20,0.50083,25.33102,1.098417,2.598602,2.617236,3.220002,2.748553,1242.605,6.674544,12.1,6.948567,17.65597,0.247774,1.0,0.3458403,0.4308235,0.5484703,0.5319042,0.08164231
28,02/04/2018 00:40,3.751392,225.3748,0.2854924,2.812757,2.78,3.23,2.924953,1187.242,6.660001,12.1,6.922339,17.3837,0.2235829,1.0,0.247774,0.3458403,0.4308235,0.5484703,0.5319042
29,02/04/2018 01:00,0.7696217,48.92696,0.01282875,3.020774,2.78,3.135736,1.95219,116.3287,6.660001,12.1,6.901999,19.40682,0.01551668,1.0,0.2235829,0.247774,0.3458403,0.4308235,0.5484703
30,02/04/2018 04:40,257.9995,18139.6,0.872327,2.191217,1.357792,0.8384681,0.1304665,515.3671,4.28448,12.1,6.969285,20.53207,0.01727811,1.0,0.01551668,0.2235829,0.247774,0.3458403,0.4308235
31,02/04/2018 05:00,133.7755,9304.697,3.849617,1.431734,0.2482904,3.957034,2.506259,1851.982,4.708498,12.0979,7.044856,18.54354,0.06619538,1.0,0.01727811,0.01551668,0.2235829,0.247774,0.3458403
32,02/04/2018 05:20,99.12773,6729.063,2.912316,1.78103,1.055051,3.699845,2.79421,1303.603,5.035701,12.0,7.007992,17.84019,0.03196558,1.0,0.06619538,0.01727811,0.01551668,0.2235829,0.247774
33,02/04/2018 05:40,5.751647,368.9067,1.574548,2.067709,1.743698,3.71728,2.82637,1202.92,5.164891,11.9429,7.004003,17.54809,0.02611388,1.0,0.03196558,0.06619538,0.01727811,0.01551668,0.2235829
34,02/04/2018 06:00,0.1290158,6.246259,0.2507213,2.313569,2.04,3.889413,3.067863,1014.221,5.145409,11.9,6.951572,17.34476,0.02295466,1.0,0.02611388,0.03196558,0.06619538,0.01727811,0.01551668
35,02/04/2018 06:20,0.3281365,19.3313,0.0,2.588536,1.421391,3.924084,3.407555,512.8058,5.124625,11.9,6.953387,19.3467,0.006332102,1.0,0.02295466,0.02611388,0.03196558,0.06619538,0.01727811
36,02/04/2018 06:40,3.441748,166.5654,0.0,2.814379,1.213707,3.933831,2.844701,422.3794,5.12,11.9,6.94375,20.20407,0.001404192,1.0,0.006332102,0.02295466,0.02611388,0.03196558,0.06619538
37,02/04/2018 10:40,209.8077,16347.96,11.62243,1.895738,0.0137126,3.349985,1.133177,1547.155,4.792848,12.0,7.207726,19.27513,0.000105071,1.0,0.001404192,0.006332102,0.02295466,0.02611388,0.03196558
38,02/04/2018 11:00,188.8535,16563.86,12.78956,1.900053,0.286195,3.146272,2.670783,1397.17,5.360806,12.0,7.1273,18.19558,7.59882e-05,1.0,0.000105071,0.001404192,0.006332102,0.02295466,0.02611388
39,02/04/2018 11:20,138.7346,13036.8,12.92643,2.103138,1.23175,3.129207,2.640224,1570.13,5.886881,12.07791,7.099695,17.21462,0.006277349,1.0,7.59882e-05,0.000105071,0.001404192,0.006332102,0.02295466
40,02/04/2018 11:40,1.241476,98.67207,11.06485,2.305596,2.046023,3.343032,2.738859,1422.615,5.98532,12.1,7.076712,17.10344,0.02144743,1.0,0.006277349,7.59882e-05,0.000105071,0.001404192,0.006332102
41,02/04/2018 12:00,0.12937,10.65635,8.933973,2.514649,2.881019,3.471465,2.789466,1181.454,5.966086,12.1,7.01707,16.94502,0.03489407,1.0,0.02144743,0.006277349,7.59882e-05,0.000105071,0.001404192
42,02/04/2018 12:20,2.410038,202.7057,7.435714,2.727784,3.530251,3.48,2.80187,1222.641,5.955283,12.19098,6.979825,16.66542,0.05276492,1.0,0.03489407,0.02144743,0.006277349,7.59882e-05,0.000105071
43,02/04/2018 12:40,2.861368,288.0908,6.065917,2.92872,4.369653,3.48,2.75992,1197.843,5.952575,12.2,6.939173,16.29337,0.08318745,1.0,0.05276492,0.03489407,0.02144743,0.006277349,7.59882e-05
44,02/04/2018 13:00,0.9503757,79.09222,4.735385,3.128271,5.064566,3.48,2.713725,1046.69,5.950132,12.2,6.903903,16.25064,0.09735946,1.0,0.08318745,0.05276492,0.03489407,0.02144743,0.006277349
45,02/04/2018 13:20,1.865683,175.6422,3.432261,3.282809,5.720948,3.481001,2.623399,801.3336,5.950199,12.2,6.868227,16.82054,0.0858245,1.0,0.09735946,0.08318745,0.05276492,0.03489407,0.02144743
46,02/04/2018 16:40,174.5074,17648.72,11.18812,1.664842,3.151802,3.52955,0.5769061,1431.542,4.699067,12.4,7.091099,20.25941,2.147216,1.0,0.0858245,0.09735946,0.08318745,0.05276492,0.03489407
47,02/04/2018 17:00,175.1805,17616.16,11.17196,1.51901,3.575954,3.607366,2.670625,1876.168,5.202129,12.50094,7.024806,18.89628,3.828779,1.0,2.147216,0.0858245,0.09735946,0.08318745,0.05276492
48,02/04/2018 17:20,138.726,13861.22,11.95153,1.784521,3.62,3.310535,2.416574,1762.617,5.605264,12.6,7.039044,18.29692,3.076224,1.0,3.828779,2.147216,0.0858245,0.09735946,0.08318745
49,02/04/2018 17:40,0.3795835,28.19689,10.78263,1.991052,4.274019,3.384266,2.338621,1762.617,5.75991,12.66238,7.062757,18.21051,2.539364,1.0,3.076224,3.828779,2.147216,0.0858245,0.09735946
50,02/04/2018 18:00,0.2522609,19.09702,8.486748,2.231329,5.346185,3.583919,2.664078,1532.412,5.740374,12.7,7.00304,17.98243,1.942927,1.0,2.539364,3.076224,3.828779,2.147216,0.0858245
