,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ã‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5
28,02/04/2018 15:20,0.6577077,55.71578,0.0196189,8.221692,0.0,3.317131,1.734219,105.2251,5.68185,12.3,6.75,18.35548,0.002622412,4.0,0.07354092,0.114774,0.1130138,0.08705294,0.08083911
29,02/04/2018 18:20,68.20488,6713.063,0.1780163,6.302538,0.0,3.363104,1.778393,700.5424,4.023915,12.20889,6.771852,20.1546,0.00791286,4.0,0.002622412,0.07354092,0.114774,0.1130138,0.08705294
30,02/04/2018 18:40,284.294,28086.38,2.542108,5.377203,0.0,3.972209,0.9428971,1718.823,4.695333,12.3,6.835658,17.73693,0.02899108,4.0,0.00791286,0.002622412,0.07354092,0.114774,0.1130138
31,02/04/2018 19:00,186.9198,18530.67,4.20654,5.088068,0.0,3.619632,1.769028,3010.061,5.325615,12.3,6.87,17.45942,0.06934338,4.0,0.02899108,0.00791286,0.002622412,0.07354092,0.114774
32,02/04/2018 19:20,178.4306,17714.73,5.145267,5.454649,0.0,3.324912,1.73465,2527.372,5.870792,12.3,6.882954,16.51219,0.1141309,4.0,0.06934338,0.02899108,0.00791286,0.002622412,0.07354092
33,02/04/2018 19:40,1.35113,119.6135,5.190649,6.016893,0.0,3.121967,2.129128,2519.903,6.025548,12.3,6.888814,15.81734,0.1700997,4.0,0.1141309,0.06934338,0.02899108,0.00791286,0.002622412
34,02/04/2018 20:00,2.513503,206.5064,2.996135,6.996778,0.0,3.172189,2.389066,1775.393,6.019456,12.3,6.839053,15.13349,0.1368381,4.0,0.1700997,0.1141309,0.06934338,0.02899108,0.00791286
35,02/04/2018 20:20,3.841909,314.8405,1.2081,7.889016,0.0,3.181153,2.640611,1607.986,6.019999,12.39695,6.801286,14.69879,0.1285818,4.0,0.1368381,0.1700997,0.1141309,0.06934338,0.02899108
36,02/04/2018 20:40,3.767849,288.4223,0.1703571,8.695191,0.0,3.17575,2.620446,1019.646,6.015536,12.4,6.775528,15.7186,0.06241315,4.0,0.1285818,0.1368381,0.1700997,0.1141309,0.06934338
37,02/04/2018 21:00,1.403837,115.7338,0.0,9.058744,0.0,3.190031,2.220275,209.4519,6.010001,12.4,6.769999,20.17373,0.002807782,4.0,0.06241315,0.1285818,0.1368381,0.1700997,0.1141309
38,03/04/2018 00:00,1.396424,129.8416,0.002102665,8.403356,0.0,0.09469018,1.097526,390.3336,4.044373,12.4,6.79,18.80899,0.01483379,4.0,0.002807782,0.06241315,0.1285818,0.1368381,0.1700997
