,inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ã‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h]
std,71.17477330591979,6201.049108650977,2.6820126383692378,5.038862866397463,2.094593824816285,1.6962112109755152,1.0554069577804943,1152.0531823512729,0.8415156031652208,3.5194883867503157,0.9531437294638798,1.2235319027553924,0.6054709536284103
avg,30.89204457930492,2652.599824533309,1.4221606855125997,9.58481384926542,0.7265570767014763,2.221388997395875,1.1495211632870035,797.7801612097658,4.219327762617163,16.818607323976227,6.832776141954845,19.31550797029064,0.14777827002900792
ratio,2.303983898611907,2.337725069307042,1.885871734249594,0.5257131693573415,2.882903342330117,0.7635813506612199,0.9181274703656661,1.4440734908778405,0.19944305124170914,0.20926158265988007,0.13949582273175234,0.06334453666128367,4.097158218928671
