Date,Influent_tot,Inflow_lane1,COD_in,Ntot_in,NH4_in
-,m^3/d,m^3/d,gCOD/m^3,gN/m^3,gNH4-N/m^3
18.10.2015 12:00:00,123377,20625,,,
19.10.2015 12:00:00,75739,12739,,,
20.10.2015 12:00:00,67441,11304,,,
21.10.2015 12:00:00,65671,6212,250,41.2,33.6
22.10.2015 12:00:00,57820,10910,,,
23.10.2015 12:00:00,63760,10579,,,
24.10.2015 12:00:00,60549,10047,,,
25.10.2015 12:00:00,58931,9810,,,
26.10.2015 12:00:00,64746,10817,248,44.2,35.4
27.10.2015 12:00:00,62604,5927,,,
28.10.2015 12:00:00,98995,17015,,,
29.10.2015 12:00:00,82167,13699,,,
30.10.2015 12:00:00,64551,10852,,,
31.10.2015 12:00:00,61287,10209,,,
