,inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ã‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h]
std,0.06323009521005277,0.05423293739915617,0.06825836961514296,0.13689143570932866,0.05231385269249512,0.1696129287930908,0.0973798729088003,0.24479431674676527,0.12365197264641335,0.23814939055007076,0.12459395156390589,0.0794357941635848,0.06361286060897356
avg,0.17583818639012613,0.09650968048983394,0.0384851371979867,0.26039187086880805,0.01892672808933183,0.2241280743535962,0.10606356530212137,0.17372816326935517,0.611169991420999,0.5628861489892558,0.8931733518895223,0.8552909072824815,0.01649182514981607
ratio,0.35959251234408396,0.561942979438927,1.7736293692806118,0.5257131693573414,2.764019879483668,0.756767884979463,0.9181274703656659,1.4090652438846445,0.20232009814309876,0.42308625106107645,0.13949582273175237,0.09287576131959172,3.8572359354466608
